Id,Business Date,Security Id,Symbol,Security Name,Open Price,High Price,Low Price,Close Price,Total Traded Quantity,Total Traded Value,Previous Day Close Price,Fifty Two Week High,Fifty Two Week Low,Last Updated Time,Last Updated Price,Total Trades,Average Traded Price,Market Capitalization
138,2025-03-03,245,CFCL,Central Finance Co. Ltd.,674.9,674.9,646,649.9,74158,48766766.6,663.1,820,325.1,2025-03-03T14:59:32.954283,649.9,439,657.6,6166.74
139,2025-03-03,250,JFL,Janaki Finance Company Limited,604.6,620,586,587,93196,56116331.3,592.8,1083.3,355,2025-03-03T14:59:52.969388,587,799,602.13,4053.08
140,2025-03-03,255,PRVU,Prabhu  Bank Limited,239.2,241,231,231.2,304787,71352881.1,236.5,297,132,2025-03-03T14:59:58.975823,231.2,817,234.1,54430.24
141,2025-03-03,256,SFCL,Samriddhi Finance Company Limited,625,640,611.4,617.9,73645,45537694.9,625,1117.9,299.9,2025-03-03T14:59:57.270534,617.9,512,618.34,5060.05
142,2025-03-03,9147,SPL,Shuvam Power Limited,968.1,1007,960.1,965,5900,5711010.2,968.1,1109.6,623.5,2025-03-03T14:59:45.702195,965,114,967.96,1930
143,2025-03-03,9148,SMH,Super Mai Hydropower Limited,1089.1,1130,1047,1069,5506,5948699,1067.8,1283,640,2025-03-03T14:59:36.655259,1069,79,1080.4,5719.15
144,2025-03-03,9154,SFEF,Sunrise Focused Equity Fund,9.31,9.32,9.2,9.24,1500,13872,9.5,10.66,7.41,2025-03-03T13:46:40.11397,9.24,8,9.24,924
145,2025-03-03,9156,TAMOR,Sanima Middle Tamor Hydropower Limited,592.6,592.6,573,574,61346,35535420.6,581,637,348,2025-03-03T14:59:55.561745,574,598,579.26,19128.55
146,2025-03-03,9158,MHCL,Molung Hydropower Company Limited,635,644,622.7,627,41766,26395879.4,633.1,655,355,2025-03-03T14:59:58.516068,627,405,631.99,5031.68
147,2025-03-03,9166,MAKAR,Makar Jitumaya Suri Hydropower Limited,787,798,780,786.9,18588,14722012.1,802.7,860,342,2025-03-03T14:59:58.373846,786.9,189,792.01,5980.44
148,2025-03-03,9167,MKHL,Mai Khola Hydropower Limited,702,728,702,715.5,32649,23474597.8,716,765,353.8,2025-03-03T14:59:55.070492,715.5,271,718.99,2805.88
149,2025-03-03,9171,BEDC,Bhugol Energy Development Company Limited,765,790,686.7,714,96820,69979222.3,763,1080,334,2025-03-03T14:59:58.087703,714,831,722.77,3884.54
